video_id,title,published_at,thumbnail_url,members
"-5xt71sQaQc","They Added More Monsters in REPO!?😱 Please Help Me I'm SCARED!!【R.E.P.O.】","2025-10-30T21:03:40Z","https://i.ytimg.com/vi/-5xt71sQaQc/maxresdefault.jpg","false"
"-DLpbDUGq2A","Comfy Minecraft Farming~!✨🌽And building more stuff!【Minecraft - VSMP 2: Farm Life】","2026-02-07T22:11:56Z","https://i.ytimg.com/vi/-DLpbDUGq2A/maxresdefault.jpg","false"
"-GHDBeBfqsM","My geography redemption arc","2026-06-03T12:00:01Z","https://i.ytimg.com/vi/-GHDBeBfqsM/maxresdefault.jpg","false"
"-KmHKg27jfk","Meeting cute Pokémon!!","2026-04-09T14:00:00Z","https://i.ytimg.com/vi/-KmHKg27jfk/maxresdefault.jpg","false"
"-MnJSuFg2QI","Mario Kart Summer Madness - The Grand Finale!!🏎️✨ 70+ VTuber Tournament!【Mario Kart 8 Deluxe】","2025-08-31T20:49:09Z","https://i.ytimg.com/vi/-MnJSuFg2QI/maxresdefault.jpg","false"
"-bvBCzec0Og","Ratchet & Clank was harder than I remembered!😂","2026-08-07T14:30:18Z","https://i.ytimg.com/vi/-bvBCzec0Og/maxresdefault.jpg","false"
"-dw2ToeJz5c","The Season 1 Server Ending!!✨ Let's Say Goodbye to the Server!【Minecraft - VSMP 2】","2025-11-09T22:37:10Z","https://i.ytimg.com/vi/-dw2ToeJz5c/maxresdefault.jpg","false"
"-f1o84r1CUE","Cozy & fun member's bodycam chatting time💖🦆","2026-03-19T14:31:15Z","https://i.ytimg.com/vi/-f1o84r1CUE/maxresdefault.jpg","true"
"-jmx8_FZjBs","Completely Blind Playthrough!✨Part 1【Ghost of Yōtei】I'm Beyond HYPED For This Game!","2025-10-02T21:49:31Z","https://i.ytimg.com/vi/-jmx8_FZjBs/maxresdefault.jpg","false"
"-mnyMjAdiZw","Cozy Handcam Crafting!💓【Members Stream】Either signing things for kamos or drawing~!","2026-08-11T13:25:38Z","https://i.ytimg.com/vi/-mnyMjAdiZw/maxresdefault.jpg","true"
"-y-2uuFM0ZY","I'm needy & sick today🥺 Please hang out with me?","2026-05-26T19:53:27Z","https://i.ytimg.com/vi/-y-2uuFM0ZY/maxresdefault.jpg","false"
"008BwW2cQiw","Oh Look!! It's The Consequences Of My Actions...!","2025-09-11T10:00:02Z","https://i.ytimg.com/vi/008BwW2cQiw/maxresdefault.jpg","false"
"0RkrNlxnSeA","New Grand Archive Set Opening!✨ It's time for Phantom Monarchs!【Handcam】","2025-11-30T09:23:55Z","https://i.ytimg.com/vi/0RkrNlxnSeA/maxresdefault.jpg","false"
"0uuTghJwFlg","Let play the amazing Ratchet & Clank!✨【Ratchet & Clank - 2002】The PlayStation 2 era is back!!","2026-06-21T22:07:31Z","https://i.ytimg.com/vi/0uuTghJwFlg/maxresdefault.jpg","false"
"0w1YQMazWuY","Duck Detective on the case! 🦆🔍【Blue Prince】","2026-06-09T22:26:19Z","https://i.ytimg.com/vi/0w1YQMazWuY/maxresdefault.jpg","false"
